"G_ID","G_name","G_category","G_developer","G_rating","A_ID","A_name","A_category","A_developer","A_rating"
"a2541","Zombie Tsunami","Arcade","Mobigame S.A.R.L.","4.4","b934","Zombie Tsunami","Entertainment","Mobigame","4.44444"
"a2257","Diner Dash","Casual","Glu","4.1","b935","Diner Dash","Entertainment","Glu Games Inc","3.84479"
"a2489","Tap Tap Dash","Arcade","Cheetah Games","4.5","b937","Tap Tap Dash","Action","Cheetah Technology Corporation Limited","4.3624"
"a1628","Monster Dash","Arcade","Halfbrick Studios","4.0","b945","Monster Dash","Arcade","Halfbrick Studios","4.26905"
"a1686","Geometry Dash","Arcade","RobTop Games","4.8","b946","Geometry Dash","Entertainment","RobTop Games AB","4.65561"
"a2098","GyroSphere Trials","Arcade","Pronetis Games","4.0","b949","GyroSphere Trials","Arcade","Pronetis","3.52381"
"a2278","Banana Kong","Action","FDG Entertainment GmbH & Co.KG","4.4","b958","Banana Kong","Arcade","FDG Mobile Games GbR","4.46567"
"a1018","Angry Birds Star Wars","Arcade","Rovio Entertainment Ltd.","4.3","b966","Angry Birds Star Wars","Action","Rovio Entertainment Ltd","4.13737"
"a2631","Stickman Cliff Diving","Sports","Djinnworks GmbH","3.8","b967","Stickman Cliff Diving","Action","Djinnworks GmbH","4.18828"
"a1682","Angry Birds","Arcade","Rovio Entertainment Ltd.","4.4","b969","Angry Birds","Arcade","Rovio Entertainment Ltd","3.67521"
"a1657","Rail Rush","Arcade","Miniclip.com","4.2","b972","Rail Rush","Arcade","Miniclip.com","4.375"
"a2141","Diamond Digger Saga","Casual","King","4.3","b988","Diamond Digger Saga","Arcade","King","4.60526"
"a251","Inside Out Thought Bubbles","Puzzle","Disney","4.4","b989","Inside Out Thought Bubbles","Puzzle","Disney","21476 Ratings"
"a2627","Line Runner","Arcade","Djinnworks GmbH","3.8","b990","Line Runner","Arcade","Djinnworks GmbH","3.83401"
"a3710","Disney Emoji Blitz","Puzzle","Disney","4.3","b992","Disney Emoji Blitz","Arcade","Disney","4.42299"
"a2262","COOKING DASH","Casual","Glu","4.2","b995","Cooking Dash","Entertainment","Glu Games Inc","3.96429"
"a2411","Daddy Long Legs","Arcade","Set Snail","4.2","b996","Daddy Long Legs","Arcade","Set Snail","4.3526"
"a837","War Robots","Action","Pixonic LLC","4.6","b1003","War Robots","Action","Pixonic LLC","4.63216"
"a769","Iron Force","Action","Chillingo","4.2","b1005","Iron Force","Arcade","Chillingo Ltd","3.95538"
"a2103","Extreme Road Trip 2","Arcade","Roofdog Games","4.3","b1006","Extreme Road Trip 2","Games","Roofdog Games","4.44329"
"a1609","Angry Birds Friends","Arcade","Rovio Entertainment Ltd.","4.2","b1007","Angry Birds Friends","Arcade","Rovio Entertainment Ltd","4.47857"
"a2803","Amazing Thief","Adventure","Ketchapp","3.5","b1018","Amazing Thief","Action","Ketchapp","4.10172"
"a1600","Looney Tunes Dash!","Casual","Zynga","4.2","b1020","Looney Tunes Dash!","Action","Zynga Inc.","3.98795"
"a829","Spider-Man Unlimited","Action","Gameloft","4.2","b1021","Spider-Man Unlimited","Action","Gameloft","4.2458"
"a1234","Bowling King","Sports","Miniclip.com","4.6","b1024","Bowling King","Arcade","Miniclip.com","4.3913"
"a2416","Prize Claw","Arcade","Game Circus LLC","4.0","b1026","Prize Claw","Entertainment","Game Circus LLC","4.33459"
"a1659","Robot Unicorn Attack 2","Arcade","[adult swim] games","4.3","b1027","Robot Unicorn Attack 2","Arcade","[adult swim]","4.28"
"a204","Traffic Rider","Racing","Soner Kara","4.7","b1029","Traffic Rider","Entertainment","Soner Kara","4.47457"
"a1354","Bubble Witch Saga","Casual","King","4.1","b1032","Bubble Witch Saga","Arcade","King","4.0284"
"a830","Into the Dead","Action","PIKPOK","4.4","b1037","Into the Dead","Action","PikPok","4.75624"
"a1398","Soccer Stars","Sports","Miniclip.com","4.4","b1038","Soccer Stars","Sports","Miniclip.com","4.32667"
"a1396","Head Soccer","Sports","D&D Dream","4.3","b1041","Head Soccer","Sports","D&amp;D Dream Corp.","4.77953"
"a3246","Disney Crossy Road","Arcade","Disney","4.5","b1044","Disney Crossy Road","Arcade","Disney","4.55753"
"a1602","Talking Tom Gold Run","Action","Outfit7","4.5","b1050","Talking Tom Gold Run","Action","Outfit7 Limited","4.1986"
"a1679","Angry Birds Rio","Arcade","Rovio Entertainment Ltd.","4.4","b1055","Angry Birds Rio","Puzzle","Rovio Entertainment Ltd","3.925"
"a644","Hungry Shark World","Action","Ubisoft Entertainment","4.4","b1056","Hungry Shark World","Action","Ubisoft","4.41132"
"a2414","Paper Toss Boss","Arcade","Backflip Studios, Inc.","4.2","b1057","Paper Toss Boss","Arcade","Backflip Studios","4.69332"
"a1930","Racing Rivals","Racing","Glu","3.9","b1058","Racing Rivals","Racing","Glu Games Inc","3.39881"
"a1932","Traffic Racer","Racing","Soner Kara","4.4","b1066","Traffic Racer","Arcade","Soner Kara","4.26722"
"a363","Bubble Witch 2 Saga","Casual","King","4.3","b1072","Bubble Witch 2 Saga","Arcade","King","4.425"
"a2410","Stick Hero","Arcade","Ketchapp","4.0","b1074","Stick Hero","Arcade","Ketchapp","4.22409"
"a1271","Flip Diving","Sports","Miniclip.com","4.5","b1075","Flip Diving","Arcade","Miniclip.com","3.62992"
"a1586","Dots: A Game About Connecting","Casual","Playdots, Inc.","4.1","b1076","Dots: A Game About Connecting","Arcade","Playdots, Inc.","4.36351"
"a1904","Candy Crush Jelly Saga","Puzzle","King","4.3","b1078","Candy Crush Jelly Saga","Puzzle","King","4.46666"
"a1688","Fruit Ninja","Arcade","Halfbrick Studios","4.3","b1084","Fruit Ninja","Arcade","Halfbrick Studios","4.14156"
"a273","Hill Climb Racing 2","Racing","Fingersoft","4.6","b1088","Hill Climb Racing 2","Entertainment","Fingersoft","4.68943"
"a1617","Toy Blast","Puzzle","Peak Games","4.6","b1093","Toy Blast","Games","Peak Games","4.71612"
"a1576","Angry Birds Go!","Racing","Rovio Entertainment Ltd.","4.2","b1095","Angry Birds Go!","Arcade","Rovio Entertainment Ltd","3.55211"
"a2147","Pet Rescue Saga","Casual","King","4.3","b1099","Pet Rescue Saga","Arcade","King","4.79629"
"a402","Farm Heroes Saga","Casual","King","4.4","b1103","Farm Heroes Saga","Entertainment","King","4.66667"
"a2453","Geometry Dash Lite","Arcade","RobTop Games","4.5","b1108","Geometry Dash Lite","Arcade","RobTop Games AB","4.49073"
"a1695","Smash Hit","Arcade","Mediocre","4.4","b1110","Smash Hit","Entertainment","Mediocre AB","4.57493"
"a348","Asphalt 8: Airborne","Racing","Gameloft","4.5","b1112","Asphalt 8: Airborne","Racing","Gameloft","4.59814"
"a2142","Paper Toss","Casual","Backflip Studios, Inc.","4.0","b1113","Paper Toss","Entertainment","Backflip Studios","4.18966"
"a2200","Cooking Fever","Arcade","Nordcurrent","4.4","b1116","Cooking Fever","Entertainment","Nordcurrent","4.47968"
"a403","Candy Crush Soda Saga","Casual","King","4.3","b1118","Candy Crush Soda Saga","Arcade","King","4.35701"
"a649","Color Switch","Action","Fortafy Games","4.5","b1120","Color Switch","Games","Fortafy Games","4.27886"
"a1538","Trivia Crack","Trivia","Etermax","4.5","b1121","Trivia Crack","Family","Etermax","3.79339"
"a1240","Hay Day","Casual","Supercell","4.4","b1122","Hay Day","Simulation","Supercell","4.46651"
"a2796","Checkers Free","Board","Optime Software","4.0","b1127","Checkers Free","Entertainment","Optime Software LLC","3.89353"
"a516","My Talking Tom","Casual","Outfit7","4.5","b1130","My Talking Tom","Entertainment","Outfit7 Limited","4.26376"
"a258","Where's My Water? Free","Puzzle","Disney","4.3","b1131","Where's My Water? Free","Puzzle","Disney","3.97597"
